dataset_id,dataset_name,best_algorithm,score_LogisticRegression,score_RandomForest,score_KNN
802,pbcseq,RandomForest,0.6626854429153177,0.773772994521327,0.7212040626029828
803,delta_ailerons,RandomForest,0.9380176011325517,0.9435244322102644,0.9387707995904087
805,fri_c4_500_50,RandomForest,0.6366348341207836,0.8248768644041627,0.5715294933555672
806,fri_c3_1000_50,RandomForest,0.6594392144953942,0.8563113675473225,0.6045956068427978
807,kin8nm,KNN,0.7313964031263512,0.8375806060686358,0.8508613780761302
808,fri_c0_100_10,LogisticRegression,0.7848484848484848,0.7676767676767676,0.7424242424242424
810,pbc,LogisticRegression,0.6710008841732981,0.6578461538461539,0.5988099027409371
811,rmftsa_ctoarrivals,RandomForest,0.718276515151515,0.7519642857142859,0.6846103896103897
812,fri_c1_100_25,RandomForest,0.674141414141414,0.7387878787878788,0.6783838383838384
813,fri_c3_1000_5,RandomForest,0.6487456108889585,0.8978866133104002,0.8896234017228828
814,chscase_vine2,RandomForest,0.4839586997589733,0.8493207658734334,0.7100666205659365
816,puma8NH,RandomForest,0.8261698254319605,0.8318810753734851,0.7957813539857875
818,diggle_table_a2,RandomForest,0.9900731452455591,1.0,0.9771159874608151
819,delta_elevators,LogisticRegression,0.8805207529269248,0.8768629838488312,0.8473652397253199
820,chatfield_4,LogisticRegression,0.8793521159219889,0.8782387001987727,0.8468311583556594
824,fri_c1_500_10,RandomForest,0.653664178012004,0.9002371541501976,0.7167764602547212
825,boston_corrected,RandomForest,0.8654353687248424,0.874896331738437,0.812738474975317
826,sensory,RandomForest,0.5270578039091152,0.6793194929607284,0.6160885186084596
827,disclosure_x_noise,LogisticRegression,0.5511084437950109,0.49975089587029886,0.5000003479107956
828,fri_c4_100_100,RandomForest,0.5493939393939394,0.7526262626262626,0.5073737373737374
829,fri_c1_100_5,RandomForest,0.6727272727272727,0.8494949494949495,0.7787878787878787
830,fri_c2_250_10,RandomForest,0.7367041595925297,0.8748714865119789,0.8101873467270326
831,autoMpg,RandomForest,0.9015930564711052,0.9137301064130332,0.8608076717832815
